Lat,Lng, RH_201407032100
48.4,-125.2,86.63425000000002
48.0,-125.2,85.82323809523812
47.6,-125.2,84.92800000000004
47.2,-125.2,82.76025806451617
46.8,-125.2,81.55058064516133
46.4,-125.2,84.50219354838713
46.0,-125.2,83.92472131147545
45.6,-125.2,83.48606451612906
45.2,-125.2,82.61509677419359
44.8,-125.2,81.95750819672135
44.4,-125.2,81.40541935483874
44.0,-125.2,81.0667096774194
43.6,-125.2,82.5667096774194
43.2,-125.2,86.67961290322584
42.8,-125.2,90.43112500000004
42.4,-125.2,90.97390163934429
41.2,-125.2,80.5851428571429
41.6,-125.2,82.26768253968258
42.0,-125.2,93.72800000000005
40.4,-125.2,74.89987500000004
40.8,-125.2,76.2441290322581
39.2,-125.2,81.44228571428573
39.6,-125.2,80.65392592592596
40.0,-125.2,77.93434920634924
38.8,-125.2,89.12799999999997
48.8,-108.0,35.32175000000002
48.4,-108.0,33.09466666666669
48.0,-108.0,32.82323809523812
47.6,-108.0,27.219803278688534
47.2,-108.0,25.426412698412708
46.8,-108.0,22.14466666666667
46.4,-108.0,21.05058064516129
46.0,-108.0,21.594666666666665
45.6,-108.0,22.11509677419355
45.2,-108.0,26.3153015873016
44.8,-108.0,31.028000000000016
44.4,-108.0,19.83911111111111
43.2,-108.0,18.527999999999984
43.6,-108.0,21.66450793650794
44.0,-108.0,18.47799999999999
42.4,-108.0,16.615096774193525
42.8,-108.0,16.824774193548368
41.2,-108.0,15.14987499999998
41.6,-108.0,17.002193548387076
42.0,-108.0,17.774874999999987
40.4,-108.0,18.147354838709667
40.8,-108.0,15.75974603174601
39.2,-108.0,27.22006349206351
39.6,-108.0,23.86862500000001
40.0,-108.0,20.029587301587295
38.4,-108.0,21.524875000000005
38.8,-108.0,19.946749999999994
37.2,-108.0,19.997841269841263
37.6,-108.0,28.899875000000016
38.0,-108.0,26.790500000000016
36.8,-108.0,18.13424999999999
36.4,-108.0,18.281846153846146
36.0,-108.0,18.32174999999999
35.6,-108.0,22.589538461538467
35.2,-108.0,27.299428571428585
34.8,-108.0,28.38953846153848
34.4,-108.0,31.966805970149277
34.0,-108.0,32.15876923076925
33.6,-108.0,35.866461538461564
33.2,-108.0,37.11261538461541
32.4,-108.0,26.31008955223882
32.8,-108.0,31.543384615384632
31.6,-108.0,24.728000000000005
32.0,-108.0,25.27345454545456
48.4,-90.8,39.728
48.0,-90.8,43.043789473684235
47.6,-90.8,52.25527272727276
47.2,-90.8,69.75830303030307
46.8,-90.8,51.5183225806452
46.4,-90.8,41.711333333333364
46.0,-90.8,39.96528813559325
45.6,-90.8,42.07085714285718
45.2,-90.8,45.22800000000002
44.4,-90.8,44.15657142857146
44.8,-90.8,46.76371428571432
43.2,-90.8,44.589538461538496
43.6,-90.8,45.98254545454548
44.0,-90.8,44.251809523809555
42.4,-90.8,51.64603278688528
42.8,-90.8,47.05635820895526
41.2,-90.8,48.52165079365083
41.6,-90.8,50.077206349206385
42.0,-90.8,52.74494915254241
40.4,-90.8,50.05635820895526
40.8,-90.8,48.59896774193552
39.2,-90.8,52.077206349206385
39.6,-90.8,53.34704761904766
40.0,-90.8,51.88425000000004
38.4,-90.8,49.52165079365083
38.8,-90.8,49.29942857142861
37.6,-90.8,50.36292063492067
37.2,-90.8,49.29942857142861
38.0,-90.8,50.803757575757615
36.8,-90.8,48.02958730158734
36.4,-90.8,52.18388235294122
36.0,-90.8,52.13783606557381
35.6,-90.8,50.72800000000004
35.2,-90.8,50.54618181818186
34.8,-90.8,48.44858823529415
34.4,-90.8,47.63276190476194
34.0,-90.8,44.0930793650794
33.2,-90.8,38.57648484848488
33.6,-90.8,40.78355555555559
32.4,-90.8,39.020307692307725
32.8,-90.8,37.9313898305085
31.2,-90.8,44.91550000000003
31.6,-90.8,44.66646153846157
32.0,-90.8,41.36688888888892
30.8,-90.8,46.742492753623225
30.4,-90.8,50.205611940298546
30.0,-90.8,55.10300000000004
29.6,-90.8,59.49270588235298
29.2,-90.8,66.17244444444448
28.4,-90.8,73.15422950819676
28.8,-90.8,70.66739393939397
45.2,-73.6,56.228
28.0,-90.8,74.72800000000002
44.8,-73.6,57.648634920634954
44.4,-73.6,57.32477419354842
44.0,-73.6,58.260258064516165
43.2,-73.6,60.12144262295085
43.6,-73.6,59.521650793650835
42.4,-73.6,62.16348387096779
42.8,-73.6,60.537523809523854
41.2,-73.6,64.99784126984132
41.6,-73.6,66.90541935483874
42.0,-73.6,66.33117460317465
40.4,-73.6,91.27345454545458
40.8,-73.6,69.0930793650794
39.6,-73.6,87.728
40.0,-73.6,87.22799999999997
48.4,-124.0,80.478
48.0,-124.0,73.27638709677423
47.6,-124.0,74.87800000000003
47.2,-124.0,73.90260317460321
46.8,-124.0,80.46570491803283
46.4,-124.0,75.80996721311479
46.0,-124.0,78.9215483870968
45.6,-124.0,76.63276190476194
45.2,-124.0,73.77718032786889
44.8,-124.0,70.50219354838713
44.4,-124.0,67.60101587301591
44.0,-124.0,61.760258064516165
43.6,-124.0,58.64735483870972
43.2,-124.0,51.30864516129036
42.8,-124.0,48.29942857142861
42.4,-124.0,40.76025806451616
41.2,-124.0,69.56926984126987
41.6,-124.0,63.569269841269886
42.0,-124.0,49.71212698412702
40.4,-124.0,52.72800000000003
40.8,-124.0,65.22006349206353
39.2,-124.0,97.82323809523815
39.6,-124.0,89.71212698412704
40.0,-124.0,61.347047619047665
38.4,-124.0,96.77487500000005
38.8,-124.0,97.4818461538462
37.2,-124.0,95.78682352941178
37.6,-124.0,96.64735483870973
38.0,-124.0,97.21187096774199
48.8,-106.8,37.53445161290325
