Lat,Lng, T_201407031800
48.4,-125.2,54.82625000000001
48.0,-125.2,55.701428571428565
47.6,-125.2,56.23100000000001
47.2,-125.2,57.45548387096772
46.8,-125.2,58.503548387096764
46.4,-125.2,58.03903225806461
46.0,-125.2,58.67688524590171
45.6,-125.2,58.73870967741929
45.2,-125.2,57.67903225806455
44.8,-125.2,58.31393442622957
44.4,-125.2,59.62419354838701
44.0,-125.2,60.21645161290324
43.6,-125.2,59.56903225806445
43.2,-125.2,58.451290322580626
42.8,-125.2,58.10843750000001
42.4,-125.2,58.762459016393436
41.2,-125.2,61.11857142857141
41.6,-125.2,60.009999999999955
42.0,-125.2,58.309999999999995
40.4,-125.2,62.186562499999965
40.8,-125.2,61.223870967741945
39.2,-125.2,61.95714285714286
39.6,-125.2,62.3866666666666
40.0,-125.2,63.1071428571428
38.8,-125.2,58.92800000000001
48.8,-108.0,77.8915624999999
48.4,-108.0,81.08900000000001
48.0,-108.0,80.57571428571431
47.6,-108.0,83.41065573770494
47.2,-108.0,84.2871428571429
46.8,-108.0,85.53500000000004
46.4,-108.0,85.72419354838703
46.0,-108.0,85.24700000000001
45.6,-108.0,85.5732258064516
45.2,-108.0,81.04142857142858
44.8,-108.0,77.68699999999998
44.4,-108.0,84.05571428571432
43.2,-108.0,83.63600000000004
43.6,-108.0,80.15857142857148
44.0,-108.0,83.958125
42.4,-108.0,84.94032258064517
42.8,-108.0,84.36548387096778
41.2,-108.0,83.83437500000001
41.6,-108.0,82.30129032258061
42.0,-108.0,85.20406249999994
40.4,-108.0,81.62193548387097
40.8,-108.0,81.4157142857143
39.2,-108.0,74.2785714285714
39.6,-108.0,79.655
40.0,-108.0,80.98714285714283
38.4,-108.0,83.29999999999998
38.8,-108.0,84.2590625
37.2,-108.0,81.96428571428571
37.6,-108.0,73.31562500000001
38.0,-108.0,74.97500000000001
36.8,-108.0,87.41468749999997
36.4,-108.0,86.29769230769224
36.0,-108.0,85.58093749999992
35.6,-108.0,81.6730769230769
35.2,-108.0,79.12428571428578
34.8,-108.0,77.70753846153842
34.4,-108.0,74.85208955223882
34.0,-108.0,76.40599999999998
33.6,-108.0,74.20723076923076
33.2,-108.0,71.16384615384612
32.4,-108.0,83.33089552238802
32.8,-108.0,77.35030769230767
31.6,-108.0,84.8042857142857
32.0,-108.0,83.81272727272737
48.4,-90.8,72.05
48.0,-90.8,70.00368421052632
47.6,-90.8,62.93545454545454
47.2,-90.8,52.43545454545449
46.8,-90.8,61.36032258064519
46.4,-90.8,68.65099999999998
