Lat,Lng, T_201407020300
48.4,-125.2,59.65250000000001
48.0,-125.2,60.492857142857126
47.6,-125.2,59.94500000000001
47.2,-125.2,61.03516129032256
46.8,-125.2,60.979999999999954
46.4,-125.2,61.679677419354775
46.0,-125.2,61.972950819672064
45.6,-125.2,62.318387096774124
45.2,-125.2,62.06290322580637
44.8,-125.2,63.23590163934429
44.4,-125.2,63.77290322580644
44.0,-125.2,59.99580645161284
43.6,-125.2,57.940322580645166
43.2,-125.2,57.859032258064545
42.8,-125.2,56.811874999999965
42.4,-125.2,56.93885245901635
41.2,-125.2,57.712857142857125
41.6,-125.2,57.33285714285718
42.0,-125.2,56.169999999999995
40.4,-125.2,58.51625000000001
40.8,-125.2,58.11741935483878
39.2,-125.2,57.868571428571435
39.6,-125.2,58.52333333333331
40.0,-125.2,58.350000000000044
38.8,-125.2,59.91799999999999
48.8,-108.0,62.05718749999995
48.4,-108.0,62.43499999999996
48.0,-108.0,63.00714285714286
47.6,-108.0,65.71754098360657
47.2,-108.0,67.42714285714285
46.8,-108.0,67.72099999999999
46.4,-108.0,66.87064516129035
46.0,-108.0,67.34900000000002
45.6,-108.0,65.68322580645162
45.2,-108.0,58.34428571428569
44.8,-108.0,60.12499999999999
44.4,-108.0,70.67285714285715
43.2,-108.0,66.62599999999998
43.6,-108.0,63.50428571428571
44.0,-108.0,69.43718749999991
42.4,-108.0,61.48516129032257
42.8,-108.0,63.10516129032257
41.2,-108.0,64.81062500000004
41.6,-108.0,63.479677419354815
42.0,-108.0,64.20312499999999
40.4,-108.0,63.0325806451613
40.8,-108.0,63.47571428571428
39.2,-108.0,58.921428571428535
39.6,-108.0,62.735
40.0,-108.0,62.018571428571406
38.4,-108.0,68.76499999999999
38.8,-108.0,69.53281250000003
37.2,-108.0,70.25571428571426
37.6,-108.0,60.527187499999975
38.0,-108.0,61.40750000000003
36.8,-108.0,80.33281249999996
36.4,-108.0,79.96723076923071
36.0,-108.0,82.39437499999997
35.6,-108.0,76.69953846153848
35.2,-108.0,74.50428571428567
34.8,-108.0,74.09369230769228
34.4,-108.0,71.71686567164181
