Lat,Lng, T_201407031200
48.4,-125.2,53.577499999999986
48.0,-125.2,54.52428571428568
47.6,-125.2,55.453999999999965
47.2,-125.2,56.096774193548434
46.8,-125.2,56.6687096774194
46.4,-125.2,56.964838709677366
46.0,-125.2,57.47885245901636
45.6,-125.2,57.853225806451704
45.2,-125.2,57.67903225806455
44.8,-125.2,57.779836065573825
44.4,-125.2,57.88806451612912
44.0,-125.2,56.80516129032257
43.6,-125.2,56.91258064516128
43.2,-125.2,57.11580645161295
42.8,-125.2,57.05375000000002
42.4,-125.2,57.13655737704922
41.2,-125.2,53.855714285714306
41.6,-125.2,54.712857142857146
42.0,-125.2,56.62142857142858
40.4,-125.2,55.866875
40.8,-125.2,55.17645161290324
39.2,-125.2,58.60142857142856
39.6,-125.2,58.656666666666666
40.0,-125.2,57.84714285714288
38.8,-125.2,58.388
48.8,-108.0,54.362187500000026
48.4,-108.0,57.281000000000034
48.0,-108.0,58.964285714285744
47.6,-108.0,59.57393442622942
47.2,-108.0,57.45285714285713
46.8,-108.0,55.68200000000001
46.4,-108.0,59.725806451612875
46.0,-108.0,60.427999999999926
45.6,-108.0,60.5154838709677
45.2,-108.0,58.02999999999999
44.8,-108.0,55.105999999999995
44.4,-108.0,55.97285714285713
43.2,-108.0,57.403999999999975
43.6,-108.0,55.98428571428571
44.0,-108.0,54.806562499999984
42.4,-108.0,52.56064516129028
42.8,-108.0,53.771290322580676
41.2,-108.0,52.24156249999999
41.6,-108.0,52.51419354838705
42.0,-108.0,53.20906249999997
40.4,-108.0,52.226774193548394
40.8,-108.0,53.321428571428605
39.2,-108.0,54.05
39.6,-108.0,54.51968750000002
40.0,-108.0,53.0842857142857
38.4,-108.0,56.76406249999998
38.8,-108.0,57.593749999999986
37.2,-108.0,56.890000000000036
37.6,-108.0,51.74656250000001
38.0,-108.0,52.2640625
36.8,-108.0,59.272812499999986
36.4,-108.0,59.095538461538446
36.0,-108.0,58.03812499999998
35.6,-108.0,54.19399999999997
35.2,-108.0,53.878571428571426
34.8,-108.0,54.119230769230796
34.4,-108.0,53.6631343283582
34.0,-108.0,53.21646153846153
33.6,-108.0,51.94261538461539
33.2,-108.0,53.16661538461537
32.4,-108.0,67.26791044776117
32.8,-108.0,63.58723076923073
31.6,-108.0,72.25571428571428
32.0,-108.0,70.00181818181817
48.4,-90.8,47.93
48.0,-90.8,48.95947368421052
47.6,-90.8,48.15254545454547
47.2,-90.8,44.77454545454544
46.8,-90.8,46.85580645161291
46.4,-90.8,48.72500000000002
46.0,-90.8,49.20830508474576
45.6,-90.8,48.215428571428596
45.2,-90.8,53.00724137931035
44.4,-90.8,53.73114285714288
44.8,-90.8,54.053214285714255
43.2,-90.8,56.00230769230773
43.6,-90.8,55.264181818181825
44.0,-90.8,54.24714285714284
42.4,-90.8,56.670327868852425
42.8,-90.8,56.74194029850745
41.2,-90.8,57.89571428571431
41.6,-90.8,57.39857142857145
42.0,-90.8,56.768305084745805
40.4,-90.8,58.19268656716421
40.8,-90.8,58.52096774193549
39.2,-90.8,58.42428571428581
39.6,-90.8,57.29285714285709
40.0,-90.8,57.554375000000036
38.4,-90.8,58.41285714285713
38.8,-90.8,59.49285714285707
37.6,-90.8,57.035714285714285
37.2,-90.8,58.78714285714289
38.0,-90.8,57.59545454545459
36.8,-90.8,60.43571428571421
36.4,-90.8,62.73500000000002
36.0,-90.8,64.48114754098353
35.6,-90.8,65.12000000000009
35.2,-90.8,66.17545454545453
34.8,-90.8,67.75117647058823
34.4,-90.8,68.93857142857131
34.0,-90.8,67.75
33.2,-90.8,68.72818181818172
33.6,-90.8,67.88499999999993
32.4,-90.8,70.65153846153846
32.8,-90.8,70.11576271186446
31.2,-90.8,74.42656250000003
31.6,-90.8,71.4684615384615
32.0,-90.8,70.94749999999996
30.8,-90.8,75.76478260869577
30.4,-90.8,76.23298507462688
30.0,-90.8,77.11531249999994
29.6,-90.8,77.07676470588228
29.2,-90.8,80.04249999999992
28.4,-90.8,82.82934426229512
28.8,-90.8,82.91000000000003
45.2,-73.6,68.72
28.0,-90.8,82.49000000000002
44.8,-73.6,69.40999999999998
44.4,-73.6,69.7274193548387
44.0,-73.6,69.65483870967742
43.2,-73.6,71.41262295081965
43.6,-73.6,69.50714285714281
42.4,-73.6,71.96290322580646
42.8,-73.6,72.20428571428573
41.2,-73.6,74.44142857142862
41.6,-73.6,72.5958064516129
42.0,-73.6,71.37857142857145
40.4,-73.6,71.65072727272722
40.8,-73.6,75.35285714285716
39.6,-73.6,72.95
40.0,-73.6,72.64999999999999
48.4,-124.0,53.7125
48.0,-124.0,49.0651612903226
47.6,-124.0,50.38399999999999
47.2,-124.0,53.30714285714285
46.8,-124.0,55.05032786885245
46.4,-124.0,55.436885245901635
46.0,-124.0,55.15612903225809
45.6,-124.0,54.79857142857141
45.2,-124.0,54.34213114754096
44.8,-124.0,53.867096774193534
44.4,-124.0,53.31
44.0,-124.0,53.475161290322575
43.6,-124.0,54.24741935483872
43.2,-124.0,54.55516129032256
42.8,-124.0,50.98142857142856
42.4,-124.0,51.64032258064517
41.2,-124.0,53.555714285714295
41.6,-124.0,53.992857142857154
42.0,-124.0,54.54714285714284
40.4,-124.0,51.46428571428573
40.8,-124.0,54.095714285714294
