Lat,Lng, RH_201406062100
48.4,-125.2,72.08824999999999
48.0,-125.2,72.46573015873005
47.6,-125.2,74.3569999999999
47.2,-125.2,75.66183870967731
46.8,-125.2,79.339258064516
46.4,-125.2,81.95216129032245
46.0,-125.2,82.66765573770479
45.6,-125.2,82.62958064516117
45.2,-125.2,81.41990322580632
44.8,-125.2,78.38896721311465
44.4,-125.2,78.0328064516128
44.0,-125.2,78.7586129032257
43.6,-125.2,80.839258064516
43.2,-125.2,83.25861290322568
42.8,-125.2,84.55699999999987
42.4,-125.2,84.43814754098348
41.2,-125.2,73.59271428571418
41.6,-125.2,76.64033333333322
42.0,-125.2,83.78319047619036
40.4,-125.2,85.69762499999987
40.8,-125.2,82.41990322580632
39.2,-125.2,88.30699999999997
39.6,-125.2,80.25144444444433
40.0,-125.2,78.2117619047618
38.8,-125.2,88.40700000000001
48.8,-108.0,35.21324999999999
48.4,-108.0,36.407000000000004
48.0,-108.0,43.51334920634916
47.6,-108.0,44.56929508196717
47.2,-108.0,49.14826984126977
46.8,-108.0,51.55699999999993
46.4,-108.0,63.12958064516119
46.0,-108.0,82.14033333333323
45.6,-108.0,73.24248387096763
45.2,-108.0,79.19588888888877
44.8,-108.0,56.54033333333327
44.4,-108.0,37.94192063492062
43.2,-108.0,30.090333333333344
43.6,-108.0,40.98953968253964
44.0,-108.0,36.26012499999999
42.4,-108.0,18.371516129032265
42.8,-108.0,24.177967741935493
41.2,-108.0,12.11950000000001
41.6,-108.0,13.613451612903235
42.0,-108.0,15.760125000000011
40.4,-108.0,12.48441935483872
40.8,-108.0,10.926047619047626
39.2,-108.0,15.862555555555566
39.6,-108.0,14.55700000000001
40.0,-108.0,14.195888888888899
38.4,-108.0,13.30700000000001
38.8,-108.0,13.86950000000001
37.2,-108.0,7.132396825396828
37.6,-108.0,11.088250000000007
38.0,-108.0,12.74450000000001
36.8,-108.0,4.588249999999998
36.4,-108.0,4.060846153846149
36.0,-108.0,3.463249999999996
35.6,-108.0,3.5069999999999952
35.2,-108.0,4.021285714285709
34.8,-108.0,4.045461538461534
34.4,-108.0,4.3219253731343255
34.0,-108.0,4.476230769230766
33.6,-108.0,4.43007692307692
33.2,-108.0,4.9223846153846145
32.4,-108.0,4.306999999999997
32.8,-108.0,4.522384615384612
31.6,-108.0,4.449857142857144
32.0,-108.0,4.352454545454543
48.4,-90.8,37.307
48.0,-90.8,41.44735087719296
47.6,-90.8,67.05245454545444
47.2,-90.8,97.45851515151502
46.8,-90.8,61.500548387096686
46.4,-90.8,47.840333333333284
46.0,-90.8,52.578186440677904
45.6,-90.8,50.34985714285707
45.2,-90.8,45.73803448275858
44.4,-90.8,43.39271428571423
44.8,-90.8,46.19985714285711
43.2,-90.8,46.630076923076864
43.6,-90.8,47.39790909090905
44.0,-90.8,44.322873015872965
42.4,-90.8,45.76601639344258
42.8,-90.8,46.90401492537307
41.2,-90.8,43.08477777777773
41.6,-90.8,44.5609682539682
42.0,-90.8,45.73072881355928
40.4,-90.8,44.82938805970143
40.8,-90.8,43.371516129032216
39.2,-90.8,55.95779365079357
39.6,-90.8,54.14826984126976
40.0,-90.8,51.463249999999924
38.4,-90.8,61.32287301587292
38.8,-90.8,58.24350793650785
37.6,-90.8,68.6244603174602
37.2,-90.8,68.02128571428561
38.0,-90.8,64.77669696969687
36.8,-90.8,69.35461904761894
36.4,-90.8,68.77758823529402
36.0,-90.8,66.97913114754088
35.6,-90.8,65.0069999999999
