Lat,Lng, T_201406061800
48.4,-125.2,56.36750000000001
48.0,-125.2,55.90999999999998
47.6,-125.2,57.33199999999998
47.2,-125.2,59.11903225806448
46.8,-125.2,57.70225806451607
46.4,-125.2,57.33645161290324
46.0,-125.2,57.714918032786855
45.6,-125.2,56.764516129032295
45.2,-125.2,56.311612903225836
44.8,-125.2,56.68508196721316
44.4,-125.2,57.051935483871056
44.0,-125.2,56.3580645161291
43.6,-125.2,56.07354838709685
43.2,-125.2,55.56258064516132
42.8,-125.2,55.15531250000001
42.4,-125.2,55.26278688524587
41.2,-125.2,56.8728571428571
41.6,-125.2,55.9471428571429
42.0,-125.2,54.44999999999996
40.4,-125.2,57.267499999999934
40.8,-125.2,56.98225806451608
39.2,-125.2,57.8107142857143
39.6,-125.2,56.91999999999995
40.0,-125.2,57.052857142857185
38.8,-125.2,56.13799999999999
48.8,-108.0,58.05781250000006
48.4,-108.0,59.09600000000002
48.0,-108.0,58.675714285714236
47.6,-108.0,58.52344262295083
47.2,-108.0,57.435714285714305
46.8,-108.0,56.08399999999999
46.4,-108.0,55.17935483870971
46.0,-108.0,55.466000000000044
45.6,-108.0,55.2867741935484
45.2,-108.0,51.452857142857134
44.8,-108.0,55.634
44.4,-108.0,67.26142857142855
43.2,-108.0,67.77499999999999
43.6,-108.0,63.55285714285714
44.0,-108.0,66.20843750000002
42.4,-108.0,67.40483870967743
42.8,-108.0,65.92999999999998
41.2,-108.0,71.70406249999999
41.6,-108.0,69.53290322580638
42.0,-108.0,69.68468749999998
40.4,-108.0,72.85129032258065
40.8,-108.0,72.82428571428572
39.2,-108.0,71.67857142857143
39.6,-108.0,74.0665625
40.0,-108.0,72.55857142857141
38.4,-108.0,77.478125
38.8,-108.0,77.90562499999996
37.2,-108.0,77.86714285714281
37.6,-108.0,69.52999999999999
38.0,-108.0,70.09531249999999
36.8,-108.0,84.58531249999999
36.4,-108.0,83.87738461538466
36.0,-108.0,84.02
35.6,-108.0,83.17676923076927
35.2,-108.0,80.40428571428569
34.8,-108.0,80.22476923076916
34.4,-108.0,80.13925373134326
34.0,-108.0,82.20200000000001
33.6,-108.0,81.69523076923078
33.2,-108.0,76.9210769230769
32.4,-108.0,87.92761194029843
32.8,-108.0,82.22415384615385
31.6,-108.0,92.67285714285715
32.0,-108.0,90.98
48.4,-90.8,76.46000000000001
48.0,-90.8,73.93210526315788
47.6,-90.8,59.479454545454544
47.2,-90.8,47.2618181818182
46.8,-90.8,62.210967741935484
46.4,-90.8,75.90500000000003
46.0,-90.8,75.75067796610175
45.6,-90.8,75.99714285714293
45.2,-90.8,77.20482758620685
44.4,-90.8,78.20342857142853
44.8,-90.8,77.03535714285715
43.2,-90.8,79.07276923076915
43.6,-90.8,78.47109090909089
44.0,-90.8,78.38999999999996
42.4,-90.8,77.75393442622946
42.8,-90.8,78.2720895522387
41.2,-90.8,79.39857142857137
41.6,-90.8,79.30714285714281
42.0,-90.8,78.60932203389828
40.4,-90.8,79.6959701492537
40.8,-90.8,79.3864516129032
39.2,-90.8,78.1957142857142
39.6,-90.8,78.15571428571417
40.0,-90.8,78.8421875
38.4,-90.8,78.38428571428564
38.8,-90.8,78.64142857142853
37.6,-90.8,76.37000000000006
37.2,-90.8,77.90142857142848
38.0,-90.8,77.15272727272719
36.8,-90.8,79.18428571428572
36.4,-90.8,78.0376470588235
36.0,-90.8,78.5477049180327
35.6,-90.8,80.01499999999996
35.2,-90.8,83.13363636363637
34.8,-90.8,84.18411764705886
34.4,-90.8,85.01000000000013
34.0,-90.8,85.8671428571428
33.2,-90.8,87.44818181818168
33.6,-90.8,86.3299999999999
32.4,-90.8,90.06384615384624
32.8,-90.8,89.90966101694923
31.2,-90.8,88.81531250000003
31.6,-90.8,89.05307692307692
32.0,-90.8,89.93000000000012
30.8,-90.8,88.97000000000001
30.4,-90.8,89.01835820895528
30.0,-90.8,87.93499999999996
29.6,-90.8,86.46058823529401
29.2,-90.8,82.41000000000005
28.4,-90.8,79.98770491803276
28.8,-90.8,80.24818181818179
45.2,-73.6,65.48
28.0,-90.8,79.98687499999998
44.8,-73.6,64.3585714285715
44.4,-73.6,62.62903225806452
44.0,-73.6,63.740967741935485
43.2,-73.6,72.45721311475413
43.6,-73.6,68.89571428571429
42.4,-73.6,73.02838709677418
