Lat,Lng, QPF_201407021200
48.4,-125.2,0.0
48.0,-125.2,0.0
47.6,-125.2,0.0
47.2,-125.2,0.0
46.8,-125.2,0.0
46.4,-125.2,0.0
46.0,-125.2,0.0
45.6,-125.2,0.0
45.2,-125.2,0.0
44.8,-125.2,0.0
44.4,-125.2,0.0
44.0,-125.2,0.0
43.6,-125.2,0.0
43.2,-125.2,0.0
42.8,-125.2,0.0
42.4,-125.2,0.0
41.2,-125.2,0.0
41.6,-125.2,0.0
42.0,-125.2,0.0
40.4,-125.2,0.0
40.8,-125.2,0.0
39.2,-125.2,0.0
39.6,-125.2,0.0
40.0,-125.2,0.0
38.8,-125.2,0.0
48.8,-108.0,0.0
48.4,-108.0,0.0
48.0,-108.0,0.0
47.6,-108.0,0.0
47.2,-108.0,0.0
46.8,-108.0,0.0
46.4,-108.0,0.0
46.0,-108.0,0.0
45.6,-108.0,0.0
45.2,-108.0,0.0
44.8,-108.0,0.0
44.4,-108.0,0.0
43.2,-108.0,0.0
43.6,-108.0,0.0
44.0,-108.0,0.0
42.4,-108.0,0.0
42.8,-108.0,0.0
41.2,-108.0,0.0
41.6,-108.0,0.0
42.0,-108.0,0.0
40.4,-108.0,0.0
40.8,-108.0,0.0
39.2,-108.0,0.0
39.6,-108.0,0.0
40.0,-108.0,0.0
38.4,-108.0,0.0
38.8,-108.0,0.0
37.2,-108.0,0.0
37.6,-108.0,1.5625E-4
38.0,-108.0,0.0
36.8,-108.0,0.0
36.4,-108.0,0.0
36.0,-108.0,0.0
35.6,-108.0,6.153846153846154E-4
35.2,-108.0,0.009841269841269847
34.8,-108.0,0.010000000000000005
34.4,-108.0,0.010000000000000005
34.0,-108.0,0.010000000000000005
33.6,-108.0,0.020615384615384622
33.2,-108.0,0.09107692307692303
32.4,-108.0,0.059701492537313446
32.8,-108.0,0.09446153846153853
31.6,-108.0,0.054285714285714284
32.0,-108.0,0.05939393939393942
48.4,-90.8,0.01
48.0,-90.8,0.010000000000000005
47.6,-90.8,0.010000000000000005
47.2,-90.8,0.0022727272727272726
46.8,-90.8,0.011774193548387104
46.4,-90.8,0.01383333333333334
46.0,-90.8,0.013220338983050856
45.6,-90.8,0.016857142857142866
45.2,-90.8,0.01775862068965518
44.4,-90.8,0.010285714285714292
44.8,-90.8,0.014107142857142865
43.2,-90.8,0.010000000000000005
43.6,-90.8,0.010000000000000005
44.0,-90.8,0.010000000000000005
42.4,-90.8,1.639344262295082E-4
42.8,-90.8,0.008805970149253736
41.2,-90.8,0.0
41.6,-90.8,0.0
42.0,-90.8,0.0
40.4,-90.8,0.0
40.8,-90.8,0.0
39.2,-90.8,0.0
39.6,-90.8,0.0
40.0,-90.8,0.0
38.4,-90.8,0.0
38.8,-90.8,0.0
37.6,-90.8,0.0
37.2,-90.8,0.009841269841269847
38.0,-90.8,0.0
36.8,-90.8,0.023333333333333352
36.4,-90.8,0.16441176470588234
36.0,-90.8,0.16360655737704904
35.6,-90.8,0.12266666666666658
35.2,-90.8,0.04363636363636365
34.8,-90.8,0.02000000000000001
34.4,-90.8,0.013492063492063501
34.0,-90.8,0.0026984126984126986
33.2,-90.8,0.0
33.6,-90.8,0.0
32.4,-90.8,0.0
32.8,-90.8,0.0
31.2,-90.8,0.0
31.6,-90.8,0.0
32.0,-90.8,0.0
30.8,-90.8,0.0
30.4,-90.8,0.0
30.0,-90.8,0.0
29.6,-90.8,0.0
29.2,-90.8,0.0
28.4,-90.8,0.0
28.8,-90.8,0.0
45.2,-73.6,0.07
28.0,-90.8,0.0
44.8,-73.6,0.07428571428571433
44.4,-73.6,0.0753225806451613
44.0,-73.6,0.07129032258064513
43.2,-73.6,0.001639344262295082
43.6,-73.6,0.04698412698412695
42.4,-73.6,0.0
42.8,-73.6,0.0
41.2,-73.6,0.0
41.6,-73.6,0.0
42.0,-73.6,0.0
40.4,-73.6,0.0
40.8,-73.6,0.0
39.6,-73.6,0.0
40.0,-73.6,0.0
48.4,-124.0,0.0
48.0,-124.0,0.0
47.6,-124.0,0.0
47.2,-124.0,0.0
46.8,-124.0,0.0
46.4,-124.0,0.0
46.0,-124.0,0.0
45.6,-124.0,0.0
45.2,-124.0,0.0
44.8,-124.0,0.0
44.4,-124.0,0.0
44.0,-124.0,0.0
43.6,-124.0,0.0
43.2,-124.0,0.0
42.8,-124.0,0.0
42.4,-124.0,0.0
41.2,-124.0,0.0
41.6,-124.0,0.0
42.0,-124.0,0.0
40.4,-124.0,0.0
40.8,-124.0,0.0
39.2,-124.0,0.0
39.6,-124.0,0.0
40.0,-124.0,0.0
38.4,-124.0,0.0
38.8,-124.0,0.0
37.2,-124.0,0.0
37.6,-124.0,0.0
38.0,-124.0,0.0
48.8,-106.8,0.0
48.4,-106.8,0.0
48.0,-106.8,0.0
47.6,-106.8,0.0
47.2,-106.8,0.0
46.8,-106.8,0.0
46.4,-106.8,0.0
46.0,-106.8,0.0
45.6,-106.8,0.0
45.2,-106.8,0.0
44.8,-106.8,0.0
44.4,-106.8,0.0
43.2,-106.8,0.0
43.6,-106.8,0.0
44.0,-106.8,0.0
42.4,-106.8,0.0
42.8,-106.8,0.0
41.2,-106.8,0.0
41.6,-106.8,0.0
42.0,-106.8,0.0
40.4,-106.8,0.0
40.8,-106.8,0.0
39.2,-106.8,0.0012698412698412698
39.6,-106.8,0.0
40.0,-106.8,0.0
38.4,-106.8,0.0020634920634920633
38.8,-106.8,0.0018749999999999997
37.2,-106.8,0.010468750000000006
37.6,-106.8,0.009206349206349211
38.0,-106.8,0.007968750000000004
36.8,-106.8,0.005076923076923079
36.4,-106.8,0.003333333333333334
36.0,-106.8,0.009218750000000005
35.6,-106.8,0.010156250000000006
35.2,-106.8,0.010000000000000005
34.8,-106.8,0.009846153846153852
34.4,-106.8,0.010000000000000005
34.0,-106.8,0.010151515151515158
33.6,-106.8,0.02076923076923078
33.2,-106.8,0.08138461538461542
32.4,-106.8,0.08485294117647059
32.8,-106.8,0.07777777777777779
31.6,-106.8,0.09
32.0,-106.8,0.08999999999999993
48.0,-89.6,0.008437500000000002
47.6,-89.6,0.00492537313432836
47.2,-89.6,0.0
46.8,-89.6,0.014516129032258072
46.4,-89.6,0.018888888888888903
46.0,-89.6,0.01225806451612904
45.6,-89.6,0.013000000000000008
45.2,-89.6,0.010000000000000005
44.4,-89.6,0.011111111111111117
44.8,-89.6,0.010000000000000005
43.2,-89.6,0.0
43.6,-89.6,0.001967213114754098
44.0,-89.6,0.012096774193548392
42.4,-89.6,0.0
42.8,-89.6,0.0
41.2,-89.6,0.0
41.6,-89.6,0.0
42.0,-89.6,0.0
40.4,-89.6,0.0
40.8,-89.6,0.0
39.2,-89.6,0.0
39.6,-89.6,0.0
40.0,-89.6,0.0
38.4,-89.6,0.0
38.8,-89.6,0.0
37.6,-89.6,0.0
37.2,-89.6,0.01582089552238807
38.0,-89.6,0.0
36.8,-89.6,0.028888888888888912
36.4,-89.6,0.11634920634920652
36.0,-89.6,0.1343478260869565
35.6,-89.6,0.07063492063492062
35.2,-89.6,0.021475409836065586
34.8,-89.6,0.01318181818181819
34.4,-89.6,0.010000000000000005
34.0,-89.6,0.008923076923076928
33.2,-89.6,0.0
33.6,-89.6,5.714285714285715E-4
32.4,-89.6,0.0
32.8,-89.6,0.0
31.2,-89.6,0.0
31.6,-89.6,0.0
32.0,-89.6,0.0
30.8,-89.6,0.0
30.4,-89.6,0.0
30.0,-89.6,0.0
29.6,-89.6,0.0
29.2,-89.6,0.0
28.4,-89.6,0.0
28.8,-89.6,0.0
45.2,-72.4,0.10500000000000001
28.0,-89.6,0.0
44.8,-72.4,0.12000000000000004
