Lat,Lng, QPF_201407020000
48.4,-125.2,0.0
48.0,-125.2,0.0
47.6,-125.2,0.0
47.2,-125.2,0.0
46.8,-125.2,0.0
46.4,-125.2,0.0
46.0,-125.2,0.0
45.6,-125.2,0.0
45.2,-125.2,0.0
44.8,-125.2,0.0
44.4,-125.2,0.0
44.0,-125.2,0.0
43.6,-125.2,0.0
43.2,-125.2,0.0
42.8,-125.2,0.0
42.4,-125.2,0.0
41.2,-125.2,0.0
41.6,-125.2,0.0
42.0,-125.2,0.0
40.4,-125.2,0.0
40.8,-125.2,0.0
39.2,-125.2,0.0
39.6,-125.2,0.0
40.0,-125.2,0.0
38.8,-125.2,0.0
48.8,-108.0,0.0
48.4,-108.0,0.0
48.0,-108.0,0.0
47.6,-108.0,0.0
47.2,-108.0,0.0
46.8,-108.0,0.0
46.4,-108.0,0.0
46.0,-108.0,0.0
45.6,-108.0,0.0
45.2,-108.0,0.0
44.8,-108.0,3.333333333333333E-4
44.4,-108.0,0.0
43.2,-108.0,0.0
43.6,-108.0,0.0
44.0,-108.0,0.0
42.4,-108.0,0.0
42.8,-108.0,0.0
41.2,-108.0,0.0
41.6,-108.0,0.0
42.0,-108.0,0.0
40.4,-108.0,0.0
40.8,-108.0,0.0
39.2,-108.0,0.0
39.6,-108.0,0.0
40.0,-108.0,0.0
38.4,-108.0,0.0
38.8,-108.0,0.0
37.2,-108.0,0.0
37.6,-108.0,0.0
38.0,-108.0,0.0
36.8,-108.0,0.0
36.4,-108.0,0.0
36.0,-108.0,0.0
35.6,-108.0,0.0
35.2,-108.0,0.004444444444444446
34.8,-108.0,0.010000000000000005
34.4,-108.0,0.010000000000000005
34.0,-108.0,0.011538461538461546
33.6,-108.0,0.04384615384615381
33.2,-108.0,0.1056923076923077
32.4,-108.0,0.025671641791044794
32.8,-108.0,0.08092307692307692
31.6,-108.0,0.02
32.0,-108.0,0.022424242424242437
48.4,-90.8,0.11
48.0,-90.8,0.09438596491228068
47.6,-90.8,0.058363636363636354
47.2,-90.8,0.018333333333333347
46.8,-90.8,0.04758064516129032
46.4,-90.8,0.07516666666666665
46.0,-90.8,0.09423728813559315
45.6,-90.8,0.09885714285714271
45.2,-90.8,0.11293103448275865
44.4,-90.8,0.07771428571428567
44.8,-90.8,0.11321428571428574
43.2,-90.8,0.025230769230769248
43.6,-90.8,0.038181818181818206
44.0,-90.8,0.04507936507936506
42.4,-90.8,0.02000000000000001
42.8,-90.8,0.02000000000000001
41.2,-90.8,0.0
41.6,-90.8,0.0
42.0,-90.8,0.007288135593220343
40.4,-90.8,0.0
40.8,-90.8,0.0
39.2,-90.8,0.0
39.6,-90.8,0.0
40.0,-90.8,0.0
38.4,-90.8,0.010000000000000005
38.8,-90.8,0.0073015873015873055
37.6,-90.8,0.1042857142857143
37.2,-90.8,0.17365079365079367
38.0,-90.8,0.033939393939393894
36.8,-90.8,0.292857142857143
36.4,-90.8,0.2630882352941177
36.0,-90.8,0.15213114754098359
35.6,-90.8,0.049000000000000016
35.2,-90.8,3.0303030303030303E-4
34.8,-90.8,0.0
34.4,-90.8,0.0
34.0,-90.8,0.0
33.2,-90.8,0.0
33.6,-90.8,0.0
32.4,-90.8,0.0
32.8,-90.8,0.0
31.2,-90.8,0.0
31.6,-90.8,0.0
32.0,-90.8,0.0
30.8,-90.8,0.0
30.4,-90.8,0.0
30.0,-90.8,0.0
29.6,-90.8,0.0
29.2,-90.8,0.0
28.4,-90.8,0.0
28.8,-90.8,0.0
45.2,-73.6,0.0375
28.0,-90.8,0.0
44.8,-73.6,0.029365079365079386
44.4,-73.6,0.010806451612903232
44.0,-73.6,0.00983870967741936
43.2,-73.6,0.0
43.6,-73.6,0.008095238095238095
42.4,-73.6,0.0
42.8,-73.6,0.0
41.2,-73.6,0.011904761904761908
41.6,-73.6,0.012903225806451616
42.0,-73.6,0.0
40.4,-73.6,0.0
40.8,-73.6,0.0
39.6,-73.6,0.0
40.0,-73.6,0.0
48.4,-124.0,0.0
48.0,-124.0,0.0
47.6,-124.0,0.0
47.2,-124.0,0.0
46.8,-124.0,0.0
46.4,-124.0,0.0
46.0,-124.0,0.0
45.6,-124.0,0.0
45.2,-124.0,0.0
44.8,-124.0,0.0
44.4,-124.0,0.0
44.0,-124.0,0.0
43.6,-124.0,0.0
43.2,-124.0,0.0
42.8,-124.0,0.0
42.4,-124.0,0.0
41.2,-124.0,0.0
41.6,-124.0,0.0
42.0,-124.0,0.0
40.4,-124.0,0.0
40.8,-124.0,0.0
39.2,-124.0,0.0
39.6,-124.0,0.0
40.0,-124.0,0.0
38.4,-124.0,0.0
38.8,-124.0,0.0
37.2,-124.0,0.0
37.6,-124.0,0.0
38.0,-124.0,0.0
48.8,-106.8,0.0
48.4,-106.8,0.0
48.0,-106.8,0.0
47.6,-106.8,0.0
47.2,-106.8,0.0
46.8,-106.8,0.0
46.4,-106.8,0.0
46.0,-106.8,0.0
45.6,-106.8,0.0
45.2,-106.8,0.0
44.8,-106.8,0.0
44.4,-106.8,0.009672131147540985
43.2,-106.8,0.0
43.6,-106.8,8.064516129032258E-4
44.0,-106.8,0.02692307692307694
42.4,-106.8,0.0
42.8,-106.8,0.0
41.2,-106.8,0.0
41.6,-106.8,0.0
42.0,-106.8,0.0
40.4,-106.8,0.0
40.8,-106.8,0.0
39.2,-106.8,0.0
39.6,-106.8,0.0
40.0,-106.8,0.0
38.4,-106.8,0.006190476190476192
38.8,-106.8,0.0018749999999999997
37.2,-106.8,0.029062500000000022
37.6,-106.8,0.07174603174603171
38.0,-106.8,0.04890624999999993
36.8,-106.8,0.00707692307692308
36.4,-106.8,0.009206349206349211
36.0,-106.8,0.010000000000000005
35.6,-106.8,0.009375000000000005
35.2,-106.8,0.010000000000000005
34.8,-106.8,0.010000000000000005
34.4,-106.8,0.010000000000000005
34.0,-106.8,0.010151515151515158
33.6,-106.8,0.024000000000000004
33.2,-106.8,0.09661538461538455
32.4,-106.8,0.08382352941176469
32.8,-106.8,0.09063492063492055
31.6,-106.8,0.0725
32.0,-106.8,0.07750000000000003
48.0,-89.6,0.044375000000000026
47.6,-89.6,0.00776119402985075
47.2,-89.6,0.0
46.8,-89.6,0.012741935483870974
46.4,-89.6,0.03952380952380949
46.0,-89.6,0.08741935483870965
45.6,-89.6,0.09949999999999992
45.2,-89.6,0.0999999999999999
44.4,-89.6,0.059999999999999984
44.8,-89.6,0.0918032786885245
43.2,-89.6,0.02181818181818183
43.6,-89.6,0.030655737704918057
44.0,-89.6,0.03967741935483873
42.4,-89.6,0.0016393442622950817
42.8,-89.6,0.01600000000000001
41.2,-89.6,0.0
41.6,-89.6,0.0
42.0,-89.6,0.0
40.4,-89.6,0.0
40.8,-89.6,0.0
39.2,-89.6,0.0
39.6,-89.6,0.0
40.0,-89.6,0.0
38.4,-89.6,0.013125000000000006
38.8,-89.6,0.0052380952380952405
37.6,-89.6,0.17333333333333337
37.2,-89.6,0.2464179104477612
38.0,-89.6,0.0490625
36.8,-89.6,0.22380952380952387
36.4,-89.6,0.1488888888888889
36.0,-89.6,0.06057971014492753
35.6,-89.6,0.006190476190476191
35.2,-89.6,0.0
34.8,-89.6,0.0
34.4,-89.6,0.0
34.0,-89.6,0.0
33.2,-89.6,0.0
33.6,-89.6,0.0
32.4,-89.6,0.0
32.8,-89.6,0.0
31.2,-89.6,0.0
31.6,-89.6,0.0
32.0,-89.6,0.0
30.8,-89.6,0.0
30.4,-89.6,0.0
30.0,-89.6,0.0
29.6,-89.6,0.0
29.2,-89.6,0.0
28.4,-89.6,0.0
28.8,-89.6,0.0
45.2,-72.4,0.0
28.0,-89.6,0.0
