Lat,Lng, QPF_201407011800
48.4,-125.2,0.0
48.0,-125.2,0.0
47.6,-125.2,0.0
47.2,-125.2,0.0
46.8,-125.2,0.0
46.4,-125.2,0.0
46.0,-125.2,0.0
45.6,-125.2,0.0
45.2,-125.2,0.0
44.8,-125.2,0.0
44.4,-125.2,0.0
44.0,-125.2,0.0
43.6,-125.2,0.0
43.2,-125.2,0.0
42.8,-125.2,0.0
42.4,-125.2,0.0
41.2,-125.2,0.0
41.6,-125.2,0.0
42.0,-125.2,0.0
40.4,-125.2,0.0
40.8,-125.2,0.0
39.2,-125.2,0.0
39.6,-125.2,0.0
40.0,-125.2,0.0
38.8,-125.2,0.0
48.8,-108.0,0.0
48.4,-108.0,0.0
48.0,-108.0,0.0
47.6,-108.0,0.0
47.2,-108.0,0.0
46.8,-108.0,0.0
46.4,-108.0,0.0
46.0,-108.0,0.0
45.6,-108.0,0.0
45.2,-108.0,0.0
44.8,-108.0,0.0
44.4,-108.0,0.0
43.2,-108.0,0.0
43.6,-108.0,0.0
44.0,-108.0,0.0
42.4,-108.0,0.0
42.8,-108.0,0.0
41.2,-108.0,0.0
41.6,-108.0,0.0
42.0,-108.0,0.0
40.4,-108.0,0.0
40.8,-108.0,0.0
39.2,-108.0,0.0
39.6,-108.0,0.0
40.0,-108.0,0.0
38.4,-108.0,0.0
38.8,-108.0,0.0
37.2,-108.0,0.0
37.6,-108.0,0.0
38.0,-108.0,0.0
36.8,-108.0,0.0
36.4,-108.0,0.0
36.0,-108.0,0.0
35.6,-108.0,0.0
35.2,-108.0,0.0
34.8,-108.0,0.0
34.4,-108.0,0.0
34.0,-108.0,0.0
33.6,-108.0,0.0
33.2,-108.0,1.5384615384615385E-4
32.4,-108.0,0.0
32.8,-108.0,0.0
31.6,-108.0,0.0
32.0,-108.0,0.0
48.4,-90.8,0.05
48.0,-90.8,0.040350877192982464
47.6,-90.8,0.02290909090909092
47.2,-90.8,0.002575757575757576
46.8,-90.8,0.009838709677419358
46.4,-90.8,0.028166666666666687
46.0,-90.8,0.05084745762711865
45.6,-90.8,0.04428571428571432
45.2,-90.8,0.02913793103448278
44.4,-90.8,0.02000000000000001
44.8,-90.8,0.02392857142857144
43.2,-90.8,0.010000000000000005
43.6,-90.8,0.010000000000000005
44.0,-90.8,0.01650793650793652
42.4,-90.8,1.639344262295082E-4
42.8,-90.8,0.008805970149253736
41.2,-90.8,0.0
41.6,-90.8,0.0
42.0,-90.8,0.0
40.4,-90.8,0.0
40.8,-90.8,0.0
39.2,-90.8,0.009841269841269847
39.6,-90.8,0.0
40.0,-90.8,0.0
38.4,-90.8,0.04825396825396822
38.8,-90.8,0.029365079365079382
37.6,-90.8,0.012063492063492071
37.2,-90.8,0.027619047619047637
38.0,-90.8,0.027727272727272746
36.8,-90.8,0.025873015873015888
36.4,-90.8,4.4117647058823526E-4
36.0,-90.8,0.0
35.6,-90.8,0.0
35.2,-90.8,0.0
34.8,-90.8,0.0
34.4,-90.8,0.0
34.0,-90.8,0.0
33.2,-90.8,0.0
33.6,-90.8,0.0
32.4,-90.8,0.0
32.8,-90.8,0.0
31.2,-90.8,0.0
31.6,-90.8,0.0
32.0,-90.8,0.0
30.8,-90.8,0.0
30.4,-90.8,0.0
30.0,-90.8,0.0
29.6,-90.8,0.0
29.2,-90.8,0.0
28.4,-90.8,0.0
28.8,-90.8,0.0
45.2,-73.6,0.0
28.0,-90.8,0.0
44.8,-73.6,0.0
44.4,-73.6,0.0
44.0,-73.6,0.0
43.2,-73.6,0.0
43.6,-73.6,0.0
42.4,-73.6,0.0
42.8,-73.6,0.0
41.2,-73.6,0.0
41.6,-73.6,0.0
42.0,-73.6,0.0
40.4,-73.6,0.0
40.8,-73.6,0.0
39.6,-73.6,0.0
40.0,-73.6,0.0
48.4,-124.0,0.0
48.0,-124.0,0.0
47.6,-124.0,0.0
47.2,-124.0,0.0
46.8,-124.0,0.0
46.4,-124.0,0.0
46.0,-124.0,0.0
45.6,-124.0,0.0
45.2,-124.0,0.0
44.8,-124.0,0.0
44.4,-124.0,0.0
44.0,-124.0,0.0
43.6,-124.0,0.0
43.2,-124.0,0.0
42.8,-124.0,0.0
42.4,-124.0,0.0
41.2,-124.0,0.0
41.6,-124.0,0.0
42.0,-124.0,0.0
40.4,-124.0,0.0
40.8,-124.0,0.0
39.2,-124.0,0.0
39.6,-124.0,0.0
40.0,-124.0,0.0
38.4,-124.0,0.0
38.8,-124.0,0.0
37.2,-124.0,0.0
37.6,-124.0,0.0
38.0,-124.0,0.0
48.8,-106.8,0.0
48.4,-106.8,0.0
48.0,-106.8,0.0
47.6,-106.8,0.0
47.2,-106.8,0.0
46.8,-106.8,0.0013114754098360656
46.4,-106.8,0.0
46.0,-106.8,0.0
45.6,-106.8,0.0
45.2,-106.8,0.0
44.8,-106.8,0.0
44.4,-106.8,0.0
43.2,-106.8,0.0
43.6,-106.8,0.0
44.0,-106.8,0.0
42.4,-106.8,0.0
42.8,-106.8,0.0
41.2,-106.8,0.0
41.6,-106.8,0.0
42.0,-106.8,0.0
40.4,-106.8,0.0
40.8,-106.8,0.0
39.2,-106.8,0.0
39.6,-106.8,0.0
40.0,-106.8,0.0
38.4,-106.8,0.0012698412698412698
38.8,-106.8,0.0
37.2,-106.8,0.00140625
37.6,-106.8,0.008888888888888894
38.0,-106.8,0.008906250000000004
36.8,-106.8,0.0
36.4,-106.8,0.0
36.0,-106.8,0.0
35.6,-106.8,0.0
35.2,-106.8,0.0
34.8,-106.8,0.0
34.4,-106.8,0.0
34.0,-106.8,0.0
33.6,-106.8,0.0
33.2,-106.8,0.0
32.4,-106.8,0.0
32.8,-106.8,0.0
31.6,-106.8,0.0
32.0,-106.8,0.0
48.0,-89.6,0.013437500000000005
47.6,-89.6,8.955223880597016E-4
47.2,-89.6,0.0
46.8,-89.6,0.008225806451612905
46.4,-89.6,0.023015873015873028
46.0,-89.6,0.02000000000000001
45.6,-89.6,0.02000000000000001
45.2,-89.6,0.018253968253968265
44.4,-89.6,0.006190476190476193
44.8,-89.6,0.010163934426229513
43.2,-89.6,0.0
43.6,-89.6,0.001967213114754098
44.0,-89.6,0.005645161290322583
42.4,-89.6,0.0
42.8,-89.6,0.0
41.2,-89.6,0.0
41.6,-89.6,0.0
42.0,-89.6,0.0
40.4,-89.6,0.0
40.8,-89.6,0.0
39.2,-89.6,9.523809523809525E-4
39.6,-89.6,0.0
40.0,-89.6,0.0
38.4,-89.6,0.010000000000000005
38.8,-89.6,0.006349206349206352
37.6,-89.6,0.021269841269841282
37.2,-89.6,0.019402985074626875
38.0,-89.6,0.003750000000000001
36.8,-89.6,0.0
36.4,-89.6,0.0
36.0,-89.6,0.0
35.6,-89.6,0.0
35.2,-89.6,0.0
34.8,-89.6,0.0
34.4,-89.6,0.0
34.0,-89.6,0.0
33.2,-89.6,0.0
33.6,-89.6,0.0
32.4,-89.6,0.0
32.8,-89.6,0.0
31.2,-89.6,0.0
31.6,-89.6,0.0
32.0,-89.6,0.0
30.8,-89.6,0.0
30.4,-89.6,0.0
30.0,-89.6,0.0
29.6,-89.6,0.0
29.2,-89.6,0.0
28.4,-89.6,0.0
28.8,-89.6,0.0
45.2,-72.4,0.0
28.0,-89.6,0.0
44.8,-72.4,0.0
44.4,-72.4,0.0
44.0,-72.4,0.0
43.6,-72.4,0.0
43.2,-72.4,0.0
42.4,-72.4,0.0
42.8,-72.4,0.0
41.2,-72.4,0.0
41.6,-72.4,0.0
42.0,-72.4,0.0
40.4,-72.4,0.0
40.8,-72.4,0.0
49.2,-122.8,0.0
48.8,-122.8,0.0
48.4,-122.8,0.0
