Lat,Lng, PoP12_201406070000
48.333333333333336,-91.0,22.477272727272727
47.66666666666667,-91.0,23.385964912280702
47.0,-91.0,26.017341040462426
46.333333333333336,-91.0,32.13636363636363
45.66666666666667,-91.0,31.226993865030675
45.0,-91.0,27.9375
44.333333333333336,-91.0,27.656976744186046
43.66666666666667,-91.0,24.6878612716763
43.0,-91.0,20.254335260115607
42.333333333333336,-91.0,11.908045977011493
41.66666666666667,-91.0,10.022346368715084
41.0,-91.0,9.125748502994012
40.333333333333336,-91.0,7.738636363636363
39.66666666666667,-91.0,9.614942528735632
38.333333333333336,-91.0,11.077348066298342
39.0,-91.0,11.04
37.66666666666667,-91.0,13.924418604651162
36.333333333333336,-91.0,53.9
37.0,-91.0,32.361111111111114
35.66666666666667,-91.0,61.91111111111111
49.0,-118.33333333333334,0.0
35.0,-91.0,63.55913978494624
34.333333333333336,-91.0,60.747191011235955
48.333333333333336,-118.33333333333334,0.0
47.66666666666667,-118.33333333333334,0.0
33.66666666666667,-91.0,50.93142857142857
47.0,-118.33333333333334,0.3468208092485549
33.0,-91.0,40.435483870967744
32.333333333333336,-91.0,25.115384615384617
46.333333333333336,-118.33333333333334,4.147058823529412
45.66666666666667,-118.33333333333334,0.0
31.666666666666664,-91.0,18.11111111111111
45.0,-118.33333333333334,0.0
30.333333333333332,-91.0,11.523076923076923
31.0,-91.0,13.293103448275861
44.333333333333336,-118.33333333333334,0.0
43.66666666666667,-118.33333333333334,0.0
29.666666666666664,-91.0,9.2707182320442
43.0,-118.33333333333334,0.0
29.0,-91.0,6.638297872340425
28.333333333333332,-91.0,6.140449438202247
42.333333333333336,-118.33333333333334,0.0
41.66666666666667,-118.33333333333334,2.045977011494253
41.0,-118.33333333333334,2.834285714285714
40.333333333333336,-118.33333333333334,4.142857142857143
39.66666666666667,-118.33333333333334,5.194285714285714
39.0,-118.33333333333334,6.672316384180791
37.66666666666667,-118.33333333333334,10.430167597765363
38.333333333333336,-118.33333333333334,7.491525423728813
37.0,-118.33333333333334,12.909604519774012
35.66666666666667,-118.33333333333334,1.0666666666666667
36.333333333333336,-118.33333333333334,7.661111111111111
35.0,-118.33333333333334,0.4222222222222222
33.66666666666667,-118.33333333333334,0.0
34.333333333333336,-118.33333333333334,0.0
33.0,-118.33333333333334,0.0
32.333333333333336,-118.33333333333334,0.0
47.0,-67.66666666666667,100.0
46.333333333333336,-67.66666666666667,100.0
45.66666666666667,-67.66666666666667,99.8252427184466
45.0,-67.66666666666667,89.69090909090909
44.333333333333336,-67.66666666666667,57.94375
43.66666666666667,-67.66666666666667,41.3
49.66666666666667,-95.0,2.0
49.0,-95.0,2.259259259259259
48.333333333333336,-95.0,5.176136363636363
47.66666666666667,-95.0,8.954545454545455
47.0,-95.0,8.903409090909092
46.333333333333336,-95.0,27.488636363636363
