Lat,Lng, TotalSvrProb_201406081200
48.166666666666664,-91.0,0.0
47.5,-91.0,0.0
46.83333333333333,-91.0,0.0
46.166666666666664,-91.0,0.0
45.5,-91.0,0.0
44.83333333333333,-91.0,0.0
44.166666666666664,-91.0,0.0
43.5,-91.0,0.0
42.83333333333333,-91.0,0.0
42.166666666666664,-91.0,0.0
41.5,-91.0,0.0
40.166666666666664,-91.0,0.0
40.83333333333333,-91.0,0.0
39.5,-91.0,2.052023121387283
38.166666666666664,-91.0,14.88888888888889
38.83333333333333,-91.0,5.3977272727272725
37.5,-91.0,15.0
36.166666666666664,-91.0,15.0
36.83333333333333,-91.0,15.0
35.5,-91.0,15.0
48.83333333333333,-118.33333333333334,0.0
34.83333333333333,-91.0,15.0
34.166666666666664,-91.0,9.628571428571428
48.166666666666664,-118.33333333333334,0.0
47.5,-118.33333333333334,0.0
33.5,-91.0,4.297297297297297
46.83333333333333,-118.33333333333334,0.0
32.83333333333333,-91.0,0.0
32.166666666666664,-91.0,0.0
46.166666666666664,-118.33333333333334,0.0
45.5,-118.33333333333334,0.0
31.5,-91.0,0.0
44.83333333333333,-118.33333333333334,0.0
30.166666666666668,-91.0,0.0
30.833333333333336,-91.0,0.0
44.166666666666664,-118.33333333333334,0.0
43.5,-118.33333333333334,0.0
29.5,-91.0,0.0
42.83333333333333,-118.33333333333334,0.0
28.833333333333336,-91.0,0.0
42.166666666666664,-118.33333333333334,0.0
41.5,-118.33333333333334,0.0
40.83333333333333,-118.33333333333334,0.0
40.166666666666664,-118.33333333333334,0.0
39.5,-118.33333333333334,0.0
38.83333333333333,-118.33333333333334,0.0
37.5,-118.33333333333334,0.0
38.166666666666664,-118.33333333333334,0.0
36.83333333333333,-118.33333333333334,0.0
35.5,-118.33333333333334,0.0
36.166666666666664,-118.33333333333334,0.0
34.83333333333333,-118.33333333333334,0.0
34.166666666666664,-118.33333333333334,0.0
33.5,-118.33333333333334,0.0
32.83333333333333,-118.33333333333334,0.0
